"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"X just paid me $1,286.76 Second payout is even BIGGER than the first one!!! Took me 94 days to get here from 0 followers","61","3","75","4","1187","2026-07-04T12:04:28.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073377400113504368"
"And my own:","0","0","4","0","238","2026-07-04T09:53:09.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073344355260129718"
"Time to promote your startup Drop your project URL Let’s drive some traffic","52","1","47","3","1846","2026-07-04T09:33:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073339487149555938"
"Took me 30 days to reach 650 followers. 3 more to reach 1,000. You never know when the compound effects start. Good thing I didn't quit on day 30","84","2","121","0","2624","2026-07-04T06:33:51.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073294198858494426"
"Which do you try to build first these days? - Audience - Product","63","0","47","0","2986","2026-07-04T01:05:50.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073211651591983158"
"My first 3 months on X, starting from zero. 8k followers by the end Followers gained: Month 1: +650 Month 2: +3,500 Month 3: +3,850","71","1","91","2","2887","2026-07-03T21:37:09.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073159133688152327"
"Founders, what do u do when Claude hits limits?","125","2","62","2","5809","2026-07-03T19:00:19.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073119664641601559"
"you wake up tomorrow with 10k+ users. what’s the first person you hire?","72","3","73","0","5055","2026-07-03T16:29:41.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073081758090695072"
"","1","0","4","0","428","2026-07-03T14:19:40.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073049037364740207"
"ClimbX MCP server is now live! your AI agents can schedule posts and learn from what performs.","30","4","53","3","1420","2026-07-03T14:14:41.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073047784362504538"
"Next X payout soon, how much will I get? Got $828.77 for the first 81 days.","123","4","158","5","7800","2026-07-03T12:01:41.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2073014312810029362"
"What animal are you these days? I feel like a 'grinding raccoon'","33","1","46","2","1479","2026-07-03T09:36:42.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072977824760168673"
"Are you now the bottleneck?","38","2","61","1","2227","2026-07-03T06:04:42.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072924475843133699"
"hey @X If you’re interested in: AI Mobile apps Marketing SaaS Data Founders Let’s connect below!","48","0","52","2","2802","2026-07-03T00:07:39.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072834619381006640"
"Very NICE!","31","0","62","0","1610","2026-07-02T21:35:21.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072796294452535757"
"Do you buy or build your AI tools these days?","59","3","55","0","3189","2026-07-02T18:40:27.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072752278117695541"
"nobody talks about AI replacing junior devs anymore. why?","69","1","69","0","4561","2026-07-02T16:13:33.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072715309509681483"
"How can EU startups compete with US startups if the best US AI models become off-limits?","21","1","28","1","2242","2026-07-02T14:05:22.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072683049733513492"
"Looking to connect with more ""people""!","46","1","56","1","1701","2026-07-02T12:11:24.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072654369950949531"
"What’s the biggest thing AI still gets wrong for you?","24","1","35","0","1498","2026-07-02T09:30:26.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072613859773337996"
"in 2 years, what gets paid better? shipping code fast or spotting ai mistakes fast","96","0","85","5","4524","2026-07-02T06:14:22.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072564518480175393"
"Fable 5 seem to be BACK. What is the first thing you are building!?","13","0","20","0","1172","2026-07-02T01:00:23.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072485501378904259"
"X is weirdly amazing! You can meet: founders. builders. writers. marketers. operators. people actually shipping. Who's been the most valuable person you've met here?","57","3","86","1","3457","2026-07-01T21:00:22.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072425099144163463"
"8.2k followers in 91 days Weekly progress:","70","3","110","3","3525","2026-07-01T19:02:18.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072395390364590120"
"ChatGPT is your coworker. Gemini is your professor. Grok is your friend who's way too online. AI is becoming personality-first.","42","0","77","2","2911","2026-07-01T16:01:15.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072349825283080242"
"Every app wants to be the everything app. But most would win by doing one simple thing very well.","61","3","72","2","3181","2026-07-01T14:03:16.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072320134388076941"
"Founders who cracked distribution: how? Just the thing that worked.","87","9","175","237","53201","2026-07-01T12:00:44.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072289299735683439"
"Why did Japan win hardware, but miss AI? They gave the world robots, Bullet trains, Playstation. So why does AI feel like a race they’re barely in?","32","0","35","0","1597","2026-07-01T09:41:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072254321396273422"
"Haven’t met anyone working less after adopting the AI. Have you?","65","3","71","1","3272","2026-07-01T06:00:45.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072198705130717214"
"I made $2,029 in June 2026. ClimbX - $1,180 Twitter - $828.77 YouTube - $21.03 Burning savings, to do startup fun full-time this month.","38","1","84","9","4162","2026-07-01T00:20:31.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072113081967169907"
"My first solo startup making any MRR","1","0","5","1","408","2026-06-30T21:33:38.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072071084698894438"
"Been part of 7 startup projects so far. Still no overnight win. 2019 Grew an Instagram account to 2k followers. 2021–today Grew a YouTube channel to 10k+ subscribers. 2024–2025 • Worked at a startup: $5k MRR • CleverDash: $0 MRR 2025–2026 Joined a scaleup as CTO/co-founder.","51","2","101","3","3118","2026-06-30T21:33:01.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072070929799090536"
"The fastest way to kill an AI product: build something impressive instead of something painful enough to need.","34","2","65","2","2682","2026-06-30T19:02:10.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2072032966692274343"
"I haven't seen a C++ vibecoder yet. I wonder why?","74","5","69","2","8031","2026-06-30T16:32:10.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071995219571003861"
"I am fixing bugs on","3","0","10","0","920","2026-06-30T14:16:57.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071961189454614918"
"Hey founders, what are you building today? Let’s connect","352","9","207","29","16481","2026-06-30T14:14:12.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071960499193794978"
"Are you team Claude code or Codex right now ?","203","5","103","2","10923","2026-06-30T12:45:49.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071938255533027637"
"If your startup was doing $1k MRR... would you sell it for $17k?","99","1","80","3","7410","2026-06-30T09:34:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071890163802821031"
"Vibe coding or AI coding?","102","1","81","2","6212","2026-06-30T06:03:43.000Z","'@DanielSmidstrup","https://x.com/DanielSmidstrup/status/2071837063276560389"
