"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"Cold DMs fail because people treat strangers like warm leads. Yes that’s bad. So learn to warm them up first. Comment on their posts for a day Engage with them. Make your name seen in the circle. Now it’s not cold anymore. It’s a conversation they saw coming.","2","0","5","1","85","2026-06-14T10:32:04.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066106388846108697"
"UNPOPULAR OPINION: Average is a choice.","13","3","18","0","200","2026-06-14T09:56:31.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066097442999689525"
"You have two choices in life: 1.  Let your mind control you and create your reality. 2. Take control of your mind and manifest reality. You decide.","18","4","30","2","352","2026-06-14T09:50:57.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066096043813449950"
"Millionaires existing Elon being a trillionaire Trump being president Is not the reason you’re incapable of making it.","23","6","48","1","642","2026-06-14T09:26:15.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066089827108364451"
"If you're done Chasing Vanity metrics: Make sure to follow me and not only win. But thrive.","0","0","5","0","107","2026-06-14T09:00:09.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066083257834201342"
"So what works then? CTA Content that connects with offer Not relying on ""Viral luck"" If you can’t control that, it’s useless. Going viral will boost your ego. But for your income? $0","3","0","4","0","141","2026-06-14T09:00:06.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066083244651557106"
"Biggest mistake people make on X: -They have a post go viral. -Gets 1,000,000+ views. -Has thousands of likes. But guess how much money they made? $0. here's what no one tells you about Vanity:","16","4","25","3","640","2026-06-14T08:59:55.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066083201571819764"
"5 things you should never tell anyone: • Your income/Savings • You “might” quit or retire • Serious mental health issues • People you hate • Your wishful thinking achievements Anything else on that list?","27","3","45","1","1056","2026-06-14T07:45:28.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066064465565557205"
"I know you’re tired. I know you’re sad. I know you’re lost. But if you quit now, everyone was right about you. Always work like you have something to prove.","55","10","110","10","1520","2026-06-14T03:45:04.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2066003964584149361"
"The fact that people genuinely go through life hating on successful people blows my mind. Like that such a sad life to live, not to mention you’re screaming your own success over.","26","3","62","4","1441","2026-06-14T03:08:54.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065994862948716616"
"Ladies. If he is constantly checking his phone. He’s suddenly become more quiet. He spends less time with you. If he seems more nervous. He’s not cheating. He’s building a future for the two of you. So don’t panic. I hope…","18","2","39","0","726","2026-06-14T02:19:02.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065982315776364664"
"Signs of progress: Staying calm in a situation that used to stress you out.","12","3","30","0","426","2026-06-14T01:43:13.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065973301277557154"
"Made another robot angry. I can finally sleep good tonight","14","1","36","2","807","2026-06-14T01:10:10.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065964982223654941"
"Be around people who make more money than you. Your mind will open up.","58","26","158","11","2560","2026-06-14T00:17:42.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065951779552903605"
"No job is as safe as you think. One email can end it all. Build something they can’t take from you.","31","12","77","3","1166","2026-06-13T20:56:48.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065901222763123001"
"Master DMs: https:// stan.store/KevinSzabo14/p /client-closing-blueprint …￼","1","0","3","0","191","2026-06-13T19:58:01.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065886427083157719"
"""I wanna earn passive income"" That's fine. But bro. You aren't even making active income. Work smart yes, but work hard first!","22","5","55","3","982","2026-06-13T19:56:36.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065886070374277200"
"Get work done, but live your life. If you watch Netflix, you’re not stupid. If you play video games, you’re not a loser. If you wake up after 6AM, you’re not lazy. Just make sure the work gets done first.","16","7","52","2","916","2026-06-13T19:34:46.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065880578243621047"
"Being an entrepreneur has its pros and cons. Pros: -Have control of your schedule -Make unlimited amounts money -Help a ton of people Cons: -You are going to fail constantly -You'll have angry customers -Competitive game But in the end it’s worth it.","29","14","63","8","1304","2026-06-13T19:04:52.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065873053045727670"
"Nobody cares that you hit publish. And that’s a gift. No audience = no expectations. You can test, fail, rewrite in peace. The only way to get better is to keep showing up. Hit publish. You’re freer than you think.","30","7","59","2","1146","2026-06-13T18:17:19.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065861085828194802"
"If you're scared of putting yourself out there, just know this: Millionaires won't judge you for starting. Broke people will. People with big brands won't judge you for posting. Angry wannabes with 10 followers will. Hate never comes from above. So who tf cares? Go for it.","49","13","118","5","1874","2026-06-13T17:52:12.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065854764823232575"
"The hardest truth about being an entrepreneur: Family always being mad at you from the start. But once you succeed, they love you.","43","15","111","7","2000","2026-06-13T17:21:53.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065847134272864425"
"I’ve coached over 50 people with my client closing mastery. (Helping them close clients). And the answer to their problem is always the same: They don’t reach out enough. People give up after 5 DMs and wonder why nothing happened it, but success is all in the reps.","13","1","28","0","689","2026-06-13T16:45:28.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065837972092518793"
"Master DMs and get your first $5,000/clients","0","0","5","0","195","2026-06-13T16:39:38.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065836505340207538"
"My content has very little to do with closing clients directly 80% of them are from me reaching out in DMs/email Cold and warm leads work well when you know what to say and the script Don’t forget: People are busy They don’t think about you People don’t care Show up for them","21","5","50","0","905","2026-06-13T16:37:09.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065835879835357497"
"Hard books Hard workouts Hard decisions Hard competition hard conversations Is ACTUALLY how you get an easy life.","28","6","71","5","1067","2026-06-13T16:10:05.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065829067677426138"
"Elon being a trillionaire has nothing to do with you being poor.","332","270","2217","35","35521","2026-06-13T15:50:07.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065824043756912705"
"Start looking at money as the value you give to people. Not the amount of hours it took to earn it.","20","6","43","2","758","2026-06-13T15:07:25.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065813296079396924"
"I’m convinced that nothing. I repeat nothing beats consistency. Even if you work 20 years. It’s impossible to lose. So the next time you feel behind. Just remember: You’re not a loser, you’re just early.","52","20","130","7","2436","2026-06-13T14:17:49.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065800815571255459"
"GOOD MORNING! Man bun ready. Coffee drank. Gym time. Brazil about to play. Good day.","37","1","70","1","1897","2026-06-13T13:50:56.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065794049764725131"
"The wealthy only care about 3 things. 1. Make money. 2. Make that money make more money. 3. Repeat until money isn’t a problem. Once you’ve found peace, you’ve earned life.","34","20","95","4","2495","2026-06-13T13:15:04.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065785021093323164"
"The system wasn’t designed to make you rich.","44","9","108","6","2845","2026-06-13T11:44:02.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065762112706629771"
"For that ambitious bro who: - f*cked up his 20s - is rebuilding life in his 30s I pray you for your rising, get it!","35","11","121","4","2290","2026-06-13T11:18:11.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065755609291522178"
"The system wasn’t designed to make you rich. They tell you debt is normal. Because banks profit when you believe it. They tell you hard work equals wealth. But the rich make money in their sleep. It’s time you learn to play the game.","35","9","62","4","1175","2026-06-13T09:21:39.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065726281556058611"
"The sooner you take responsibility for everything in your life, the sooner you can fix it.","31","8","65","0","1016","2026-06-13T08:43:19.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065716635919376827"
"Ai won't replace you. Ai will do the hard labour nobody wants to do and allow humans to focus on their passion and desires. Those who think AI will ruin humanity are the ones who will remain behind.","37","6","64","4","1197","2026-06-13T08:14:48.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065709457686892594"
"Here’s a challenge: Content alone won’t Make you money. Conversations will. This month, I want you to send 50 DMs selling your offer. X, insta, FB, Lindln. Doesn’t matter. People are busy to reach out to you. So you have to take the initiative.","38","5","70","6","1907","2026-06-13T08:00:37.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065705889235927125"
"Learning is a skill is easy. In 2026 we have: >Youtube >Google >X But let’s be honest. That’s the easy part. Getting clients is the hard part. So you should never neglect: >Sending a DM >Generating leads >Sending a cold call That’s where real money is made.","45","9","85","12","1570","2026-06-13T07:47:18.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065702535965405526"
"You should not be making money just so you can buy everything. You should be making money so nobody can buy you!","64","30","157","8","2638","2026-06-13T07:16:16.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065694726699749645"
"Some of the wealthiest people I know are also the cheapest. They count every favor. Track every second. Keep score on everyone around them. Full bank account but a broke mindset. Money means nothing if you’re still keeping tabs.","34","5","93","7","1562","2026-06-13T06:56:31.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065689756101439976"
"Name one thing you would do everyday if money wasn't an issue.","162","13","130","7","6712","2026-06-13T06:36:29.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065684715617542446"
"Rich or poor, there’s no shame in: Eating at home Dressing simple Not buying luxury Going to free events Driving a dead used car Enjoy life outside of media Let them laugh. A simple life IS the rich life.","68","18","170","11","2975","2026-06-13T06:08:37.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065677703018086647"
"Masculine Energy Shuts up. - He doesn’t beg, he builds. - He doesn’t cry, he go gets. - He doesn’t talk, he listens. - He doesn’t complain, He does.","44","11","140","11","2959","2026-06-13T05:44:56.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065671743272779970"
"Everyone says “there’s space for you online” But you’re convinced you’re the one person on the internet with nothing valuable to say? Be serious.","28","4","63","3","1346","2026-06-13T03:26:14.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065636836622446657"
"How to lose 97% of your close friends: Go hard on heightening your standards.","32","9","80","5","3086","2026-06-13T01:49:28.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065612486749892721"
"Being in the same place you were last year should terrify the shit out of you. Learn a high income skill. Double down, stay focused.","26","4","72","7","1517","2026-06-12T23:52:35.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065583070426611892"
"You’re not trying to just be a millionaire. You’re here to: - Go to the doctors without panic - Saying yes to my friend to visit without math - Take a month off (if I need to) - Never say ""I can't afford that"" moment again That's the value you’re looking for.","37","3","85","4","1546","2026-06-12T18:05:20.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065495683147198590"
"Are you below 1000 followers? Focus on: A quality pfp Social Learning Posting consistent Comment 100x/day Analyze channel data Share what you learned This can get you 1,000 followers in a month.","45","5","88","12","2051","2026-06-12T13:10:16.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065421428720029711"
"You don't become rich by saving pennies! You become rich by setting up multiple sources of income.","69","17","157","8","3421","2026-06-12T12:58:13.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065418393709097077"
"Chasing women while you’re broke is a weak man’s move. Fix your mind, body, and money first. Then let them chase you.","50","13","147","12","4413","2026-06-12T11:08:28.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065390776154992883"
"This world is addicted to fake things: Porn is fake intimacy. Alcohol is fake confidence. Junk food is fake nourishment. Drugs are fake peace. Smoking is fake stillness. Social media is fake belonging. None of them give you the real thing.","33","11","96","7","2485","2026-06-12T10:33:39.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065382013687804092"
"Going to school just to get a job that pays $15 is stupid when you can get the same physical level job at $30 without a degree… Money > “job”","28","3","64","3","2014","2026-06-12T10:00:19.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065373622890324095"
"Today’s been one of the hardest days business I’ve ever had to endure. Both mentally and emotionally. And guess what? I fucking crushed it! Just a reminder that when life gives you problems, you deal with it like a fucking man. God has been so good to me. Thank you!","30","1","67","1","923","2026-06-12T07:49:38.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065340737814679874"
"Things Money Can’t Buy: - Health - Family - Faith If you have these you’re already wealthy.","68","17","151","9","3024","2026-06-12T06:48:01.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065325230197809567"
"Your money problems start to evaporate once you start making more offers. Offer some kind of skill for money. DM 50 people/day- And your chance of success increases 10x.","46","4","82","3","2033","2026-06-12T05:13:07.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065301347251957859"
"One day you are going to look back at all the things you are currently going through and you'll be glad they happened.","36","8","84","4","1440","2026-06-12T04:52:43.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065296213700735207"
"If you’re a man who is currently: • 22 years old • 23 years old • 24 years old • 25 years old • 26 years old • 27 years old • 28 years old Feeling behind in life and tired is normal. However, this is also your advantage.","50","12","123","5","3572","2026-06-12T04:18:17.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065287547324874952"
"Hear me out bro.. I have accepted death a while ago. It’s Inevitable. However. I do not accept wasting my life.","23","11","90","2","2387","2026-06-12T03:31:12.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065275700769136665"
"Living a simple life is actually the new rich life.","68","18","188","6","4592","2026-06-12T03:10:01.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065270370647629883"
"GUYS! F*CK BEING AVERAGE: • Get rich. • Get jacked. • Be attractive. • Learn to fight. • Aim for the top.","56","17","209","27","3704","2026-06-12T02:56:53.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065267065917779989"
"The difference between you having no money and having lots of it is all based on how many people you talk to in a day. •Connections •Cold calls •Comments •Consulting call","45","15","144","9","2714","2026-06-12T02:02:57.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065253491434574217"
"Works solves everything: Love needs work. Stability needs work. Relationships need work. Apologizing needs work. Even your faith needs work.","56","10","101","8","3395","2026-06-11T21:28:18.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065184374245478696"
"Don’t post to go viral. Post to build a loyal community.","69","10","133","1","2351","2026-06-11T21:15:51.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065181240089518160"
"Excellence isn't about your best day. It’s about the 1,000 boring decisions: - same habits - same energy - same focus while everyone else: - got tired - got bored - got distracted consistentcy is boring until it works.","45","7","82","3","1551","2026-06-11T20:29:06.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065169474798461099"
"The real entrepreneurial diet: 10% protein 90% caffeine Sounds tough but I get it now!","38","5","70","5","3980","2026-06-11T19:37:02.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2065156370551185468"
